milestones_total,milestones_completed,milestones_completion_pct,milestones_on_time_pct,time_elapsed_pct,schedule_variance,delivery_velocity,budget_used_pct,budget_efficiency,resource_availability,resource_availability_code,collaborators,sdg_confidence_avg,project_status
13,6,0.4492,0.4434,0.5488,-0.0996,10.9335,58.48,0.7552,Low,0,3,0.544,At Risk
25,11,0.4401,0.3079,0.2084,0.2318,52.7883,18.32,2.2783,Low,0,9,0.864,On Track
22,14,0.6427,0.3561,0.5554,0.0874,25.2081,65.63,0.9647,High,2,11,0.871,On Track
24,14,0.6012,0.577,0.6569,-0.0556,21.3137,59.34,0.9964,Medium,1,12,0.774,At Risk
4,1,0.213,0.2554,0.3774,-0.1644,2.65,33.85,0.6112,Medium,1,8,0.675,At Risk
24,13,0.5432,0.4515,0.7532,-0.21,17.2595,29.59,1.7761,Medium,1,9,0.791,At Risk
15,8,0.556,0.4353,0.4497,0.1062,17.7884,53.43,1.0215,Low,0,7,0.63,On Track
15,4,0.2476,0.2963,0.243,0.0046,16.4623,36.96,0.6522,High,2,7,0.74,At Risk
6,2,0.3783,0.6004,0.4284,-0.0501,4.6684,39.21,0.9408,Medium,1,8,0.732,At Risk
23,15,0.6663,0.6326,0.707,-0.0407,21.216,32.76,1.9737,Medium,1,7,0.863,On Track
4,3,0.6921,0.609,0.5371,0.155,5.5854,53.78,1.2634,Low,0,4,0.674,On Track
5,1,0.2781,0.0817,0.4703,-0.1922,2.1264,12.98,1.9886,Low,0,4,0.725,At Risk
17,3,0.1692,0.1317,0.2447,-0.0756,12.2583,12.09,1.2925,Low,0,3,0.614,At Risk
6,4,0.6117,0.6257,0.4223,0.1894,9.4717,64.15,0.9389,Medium,1,6,0.55,On Track
22,6,0.2754,0.2256,0.2911,-0.0157,20.6122,28.31,0.9394,High,2,1,0.686,On Track
6,3,0.4505,0.7115,0.5536,-0.103,5.4195,58.51,0.7571,Low,0,1,0.722,At Risk
21,4,0.198,0.4218,0.4182,-0.2203,9.5639,44.33,0.4367,Medium,1,3,0.944,At Risk
20,8,0.3995,0.6225,0.2655,0.134,30.1286,27.72,1.3911,Medium,1,2,0.923,On Track
14,2,0.1131,0.0844,0.2663,-0.1532,7.5104,27.12,0.4021,Medium,1,10,0.874,At Risk
3,1,0.4592,0.2758,0.4464,0.0127,2.24,49.39,0.9112,Medium,1,2,0.684,On Track
9,6,0.6516,0.6493,0.7964,-0.1448,7.5337,66.27,0.9686,Low,0,10,0.759,At Risk
15,7,0.4421,0.5075,0.3439,0.0982,20.3532,61.34,0.7092,High,2,3,0.473,At Risk
23,17,0.7425,0.7129,0.5714,0.1711,29.7507,54.39,1.3404,High,2,5,0.82,On Track
14,14,0.99,1.0,0.7963,0.1937,17.5803,43.19,2.2401,Medium,1,10,0.831,Excellent
14,3,0.2403,0.1666,0.3624,-0.1221,8.2777,59.66,0.3962,High,2,8,0.887,At Risk
6,3,0.5131,0.4241,0.5049,0.0082,5.9419,49.91,1.0079,Low,0,2,0.782,On Track
18,6,0.3239,0.3761,0.4747,-0.1508,12.6408,64.9,0.4915,Low,0,8,0.833,At Risk
18,7,0.4039,0.5867,0.5421,-0.1382,12.9125,42.23,0.9344,High,2,8,0.868,At Risk
12,6,0.5412,0.5942,0.4279,0.1133,14.0223,35.65,1.4768,High,2,2,0.817,On Track
7,6,0.8095,0.7702,0.7792,0.0303,7.7,35.49,2.2187,Low,0,2,0.953,On Track
13,13,0.9813,0.7582,0.7846,0.1967,16.5689,80.07,1.2105,High,2,12,0.781,On Track
11,5,0.4658,0.3852,0.6404,-0.1746,7.8077,58.05,0.7888,High,2,8,0.618,At Risk
25,3,0.1194,0.1158,0.1597,-0.0403,18.7825,54.81,0.214,Low,0,3,0.849,At Risk
19,0,0.0,0.0,0.239,-0.239,0.0,21.93,0.0,Medium,1,1,0.499,At Risk
9,2,0.2748,0.3824,0.2589,0.0159,7.7243,33.98,0.7856,Low,0,9,0.885,At Risk
14,7,0.4881,0.5137,0.5305,-0.0424,13.1939,56.73,0.8455,Medium,1,3,0.707,On Track
25,4,0.141,0.0409,0.2191,-0.0781,18.2533,3.82,2.9241,Low,0,9,0.706,At Risk
3,3,0.99,0.7916,0.9209,0.0691,3.2578,12.95,7.0961,Medium,1,9,0.933,On Track
12,9,0.7725,0.7702,0.8085,-0.036,11.1316,58.34,1.3019,Low,0,11,0.78,On Track
5,4,0.8395,1.0,0.6613,0.1782,6.049,24.02,3.355,High,2,12,0.655,Excellent
11,0,0.0148,0.1415,0.227,-0.2122,0.0,3.0,0.3708,High,2,9,0.476,At Risk
14,6,0.4037,0.3047,0.3786,0.0251,15.8493,3.51,8.948,High,2,3,0.753,On Track
14,11,0.7928,0.4878,0.6288,0.1639,17.4925,83.08,0.9429,Low,0,4,0.794,On Track
20,9,0.4616,0.5627,0.5913,-0.1297,15.22,56.04,0.8093,Low,0,9,0.839,At Risk
19,2,0.0982,0.0132,0.1176,-0.0194,17.0092,67.05,0.1443,Medium,1,6,0.756,At Risk
23,3,0.1256,0.3233,0.096,0.0296,31.2637,30.63,0.397,Low,0,4,0.64,At Risk
22,18,0.8259,0.8589,0.5145,0.3114,34.9835,50.08,1.6169,Medium,1,4,0.54,On Track
10,0,0.0468,0.067,0.1417,-0.0949,0.0,37.44,0.1217,Medium,1,7,0.406,At Risk
10,3,0.2631,0.2255,0.554,-0.2909,5.4148,72.44,0.3582,High,2,4,0.571,Delayed
19,12,0.6188,0.3591,0.5921,0.0267,20.2655,18.23,3.2183,Medium,1,8,0.593,On Track
14,8,0.5362,0.439,0.5924,-0.0562,13.5046,71.04,0.7443,Low,0,12,0.667,At Risk
3,2,0.7187,0.7328,0.7375,-0.0188,2.7118,32.26,2.1607,Medium,1,1,0.833,On Track
11,7,0.6308,0.6159,0.5754,0.0554,12.1662,58.7,1.0565,Medium,1,8,0.796,On Track
11,4,0.3972,0.3544,0.4493,-0.0521,8.9029,64.03,0.6107,High,2,4,0.671,At Risk
25,22,0.8606,0.8606,0.805,0.0557,27.3301,58.61,1.4439,Medium,1,10,0.733,On Track
14,5,0.3707,0.2181,0.5427,-0.172,9.2132,45.54,0.7965,Medium,1,8,0.722,At Risk
14,8,0.549,0.4819,0.5091,0.0398,15.7129,36.29,1.4721,Medium,1,6,0.641,On Track
5,4,0.7613,0.7882,0.6194,0.1419,6.4577,65.39,1.1468,Medium,1,4,0.565,On Track
6,1,0.1974,0.444,0.332,-0.1346,3.0119,50.58,0.3827,High,2,4,0.463,At Risk
18,17,0.9642,0.8395,0.8512,0.113,19.9723,35.22,2.6618,Medium,1,4,0.501,On Track
13,9,0.6862,0.5974,0.7952,-0.1091,11.3172,36.28,1.8406,Low,0,4,0.915,At Risk
18,15,0.8155,0.9523,0.721,0.0944,20.8036,79.44,1.0138,Medium,1,10,0.72,On Track
22,9,0.4206,0.3429,0.509,-0.0884,17.682,19.11,2.0917,Medium,1,1,0.62,At Risk
18,10,0.5748,0.6908,0.35,0.2248,28.571,26.16,2.1166,Low,0,11,0.648,On Track
14,6,0.4008,0.3498,0.2556,0.1453,23.4749,32.89,1.1828,Medium,1,11,0.631,On Track
5,1,0.1439,0.3345,0.11,0.0339,9.0936,42.47,0.3309,Low,0,11,0.699,At Risk
6,2,0.3124,0.5299,0.646,-0.3336,3.0959,63.66,0.4831,Medium,1,7,0.746,At Risk
25,17,0.6662,0.4836,0.6772,-0.011,25.1039,48.93,1.3344,Medium,1,4,0.726,On Track
18,13,0.735,0.7318,0.7236,0.0114,17.9656,39.16,1.8305,High,2,3,0.744,On Track
16,0,0.0,0.1306,0.1793,-0.1793,0.0,35.41,0.0,Low,0,11,0.854,At Risk
13,5,0.3831,0.3359,0.1876,0.1956,26.6545,38.88,0.9607,High,2,2,0.744,On Track
15,10,0.6614,0.7682,0.7409,-0.0794,13.4979,60.89,1.0688,Medium,1,8,0.668,At Risk
15,0,0.0,0.0,0.0621,-0.0621,0.0,26.97,0.0,Low,0,12,0.786,At Risk
5,2,0.4457,0.386,0.4157,0.03,4.8115,57.1,0.767,High,2,12,0.881,At Risk
8,3,0.3243,0.3933,0.3672,-0.0429,8.1688,43.44,0.7297,Low,0,3,0.759,At Risk
7,1,0.0766,0.0198,0.1643,-0.0877,6.0866,49.64,0.1512,Medium,1,1,0.641,At Risk
7,1,0.1533,0.1068,0.2661,-0.1128,3.7579,3.0,3.8322,Medium,1,10,0.526,At Risk
17,17,0.99,0.7629,0.8175,0.1725,20.7953,77.54,1.2605,High,2,11,0.729,On Track
7,5,0.685,0.7037,0.5821,0.1028,8.589,60.61,1.1118,Medium,1,10,0.74,On Track
22,15,0.6973,0.6182,0.9166,-0.2193,16.3651,47.91,1.4255,Medium,1,8,0.885,At Risk
24,15,0.6232,0.5208,0.7446,-0.1214,20.1449,82.99,0.7421,High,2,6,0.39,At Risk
7,5,0.7733,0.6091,0.8361,-0.0628,5.9799,112.2,0.6831,Medium,1,9,0.696,At Risk
20,6,0.3124,0.155,0.618,-0.3056,9.7085,68.69,0.4483,Low,0,3,0.793,At Risk
3,0,0.0,0.0,0.0877,-0.0877,0.0,28.46,0.0,Low,0,1,0.88,At Risk
23,8,0.3433,0.4101,0.4579,-0.1146,17.4711,7.68,3.9556,Low,0,2,0.876,At Risk
19,3,0.1489,0.1845,0.5976,-0.4487,5.02,38.31,0.3788,Medium,1,12,0.541,At Risk
7,4,0.5105,0.3669,0.5464,-0.0359,7.3207,28.68,1.7201,High,2,7,0.83,On Track
9,7,0.7624,0.8291,0.8906,-0.1282,7.8595,72.66,1.035,High,2,4,0.833,At Risk
3,1,0.3879,0.3964,0.3576,0.0303,2.7966,39.75,0.9521,Low,0,5,0.568,On Track
9,7,0.7728,0.6549,0.743,0.0297,9.4211,84.13,0.9077,High,2,5,0.25,On Track
19,10,0.5197,0.5526,0.6965,-0.1769,14.3567,10.38,4.565,Low,0,4,0.664,At Risk
21,16,0.7491,0.7317,0.9062,-0.1571,17.6559,50.91,1.4431,Medium,1,6,0.861,At Risk
11,8,0.7061,0.6507,0.628,0.0782,12.7395,30.83,2.2186,Low,0,9,0.549,On Track
16,8,0.5043,0.5568,0.7658,-0.2615,10.4466,19.21,2.4952,Low,0,3,0.416,At Risk
4,3,0.8434,0.9635,0.8044,0.0391,3.7296,35.37,2.3188,Medium,1,12,0.263,On Track
14,7,0.4843,0.4749,0.4474,0.0369,15.6464,23.05,2.0134,Low,0,8,0.774,On Track
24,0,0.0,0.0,0.1097,-0.1097,0.0,19.84,0.0,Medium,1,10,0.511,At Risk
19,15,0.8101,1.0,0.6509,0.1591,23.0436,45.28,1.7505,Low,0,7,0.859,Excellent
19,12,0.6355,0.5601,0.3074,0.3281,39.0421,61.93,1.0098,High,2,3,0.822,On Track
20,11,0.5441,0.4962,0.3053,0.2388,36.0269,34.01,1.5542,High,2,3,0.906,On Track
19,14,0.7322,0.7078,0.7788,-0.0466,17.9771,41.86,1.7083,High,2,9,0.533,On Track
3,2,0.7136,0.7358,0.684,0.0296,2.924,80.04,0.8805,High,2,8,0.664,On Track
8,5,0.6692,0.5867,0.4728,0.1964,10.5758,35.13,1.8523,High,2,10,0.932,On Track
3,0,0.0645,0.0433,0.0552,0.0093,0.0,75.43,0.0843,High,2,3,0.773,At Risk
8,2,0.2915,0.6064,0.2516,0.0399,7.9504,56.02,0.5112,Low,0,3,0.912,At Risk
18,4,0.2047,0.0746,0.4509,-0.2462,8.8708,65.27,0.3089,High,2,10,0.572,At Risk
6,4,0.6135,0.9735,0.6925,-0.0791,5.7759,83.08,0.7296,High,2,9,0.878,At Risk
4,0,0.0809,0.0683,0.1517,-0.0709,0.0,48.31,0.164,High,2,6,0.355,At Risk
24,6,0.2588,0.1752,0.3005,-0.0417,19.9695,33.42,0.7519,Medium,1,9,0.52,At Risk
19,12,0.642,0.8598,0.5897,0.0523,20.3489,21.76,2.821,Low,0,9,0.744,On Track
18,6,0.3234,0.5211,0.3329,-0.0095,18.0243,4.26,6.1483,Low,0,2,0.719,On Track
20,11,0.5313,0.4419,0.5338,-0.0025,20.6059,53.63,0.9725,Low,0,1,0.606,On Track
10,5,0.5347,0.5464,0.388,0.1468,12.8873,16.7,3.0205,Medium,1,4,0.479,On Track
11,10,0.9137,0.9069,0.6645,0.2492,15.0497,52.38,1.7117,Low,0,1,0.62,On Track
6,2,0.2646,0.0292,0.4254,-0.1609,4.7011,63.27,0.4117,High,2,9,0.634,At Risk
17,11,0.6479,0.862,0.548,0.1,20.074,63.97,0.9973,High,2,9,0.523,On Track
3,2,0.5368,0.5755,0.5056,0.0311,3.9554,38.06,1.3741,High,2,2,0.7,On Track
17,14,0.7958,0.7883,0.8663,-0.0705,16.1615,28.27,2.7186,High,2,6,0.542,At Risk
22,0,0.0,0.0,0.1043,-0.1043,0.0,10.56,0.0,Medium,1,9,0.576,At Risk
22,4,0.1979,0.3221,0.2598,-0.0619,15.3957,3.0,4.9477,Medium,1,9,0.839,At Risk
9,4,0.4932,0.2472,0.5343,-0.0411,7.4865,62.81,0.773,Medium,1,12,0.837,At Risk
11,2,0.1413,0.0754,0.2219,-0.0806,9.0127,40.69,0.3389,Medium,1,8,0.489,At Risk
19,0,0.0,0.0324,0.1314,-0.1314,0.0,63.88,0.0,Low,0,9,0.571,At Risk
18,12,0.6618,0.5911,0.743,-0.0812,16.1508,45.08,1.4362,Medium,1,9,0.872,At Risk
10,4,0.4114,0.6251,0.423,-0.0116,9.4568,78.17,0.5196,Medium,1,12,0.748,At Risk
19,15,0.7918,0.8887,0.6817,0.1101,22.0039,25.19,3.0228,High,2,5,0.7,Excellent
20,1,0.035,0.0346,0.1381,-0.1032,7.2392,27.01,0.1248,Medium,1,4,0.718,At Risk
17,6,0.3337,0.2911,0.4875,-0.1538,12.3085,31.76,1.0185,High,2,3,0.637,At Risk
16,9,0.5738,0.616,0.3569,0.217,25.2197,47.88,1.1741,Medium,1,2,0.848,On Track
15,13,0.8775,0.8709,0.7163,0.1612,18.1482,54.93,1.569,Medium,1,8,0.721,On Track
13,9,0.7105,0.7688,0.7351,-0.0246,12.2429,65.93,1.0616,High,2,2,0.759,On Track
24,17,0.7181,0.5887,0.5649,0.1532,30.0928,55.91,1.2618,High,2,4,0.884,On Track
16,3,0.1937,0.2879,0.2341,-0.0404,12.8126,58.67,0.3246,Medium,1,2,0.422,At Risk
9,6,0.6696,0.7183,0.5981,0.0714,10.0313,55.95,1.1758,Low,0,11,0.556,On Track
12,9,0.7809,0.7549,0.7122,0.0686,12.6362,49.38,1.5499,High,2,2,0.97,On Track
7,4,0.6369,0.8724,0.3543,0.2826,11.2899,28.77,2.1395,High,2,12,0.916,Excellent
23,6,0.241,0.1155,0.3297,-0.0887,18.1978,3.0,6.0253,Low,0,11,0.646,At Risk
14,1,0.039,0.0,0.0751,-0.0361,13.3139,22.37,0.1667,Low,0,3,0.786,At Risk
11,9,0.8023,0.9486,0.3817,0.4206,23.5765,50.62,1.5543,High,2,3,0.596,On Track
17,9,0.5379,0.5699,0.5622,-0.0243,16.0075,34.49,1.5156,Low,0,4,0.801,On Track
6,6,0.9879,0.8492,0.7648,0.2231,7.8451,64.8,1.5014,Low,0,7,0.653,On Track
18,7,0.4106,0.3969,0.3664,0.0442,19.1025,36.78,1.0869,High,2,3,0.837,On Track
24,11,0.4463,0.3581,0.3889,0.0574,28.282,27.65,1.5576,High,2,4,0.665,On Track
8,3,0.3455,0.2083,0.2913,0.0542,10.2988,44.14,0.7654,Medium,1,12,0.753,At Risk
16,9,0.5838,0.5307,0.5909,-0.0072,15.2298,54.34,1.0549,High,2,9,0.738,On Track
15,5,0.3296,0.0441,0.7319,-0.4023,6.8319,86.77,0.3755,Medium,1,6,0.711,Delayed
16,10,0.6021,0.5346,0.5583,0.0438,17.9111,27.09,2.1434,High,2,4,0.722,On Track
14,4,0.2646,0.3306,0.1303,0.1344,30.7057,16.16,1.5416,Low,0,6,0.738,On Track
5,2,0.3146,0.2297,0.257,0.0576,7.7815,44.86,0.6861,Low,0,12,0.731,At Risk
14,13,0.9031,0.6996,0.7657,0.1374,16.9778,31.82,2.752,High,2,1,0.722,On Track
13,6,0.4785,0.6697,0.3058,0.1727,19.6177,28.52,1.6209,Medium,1,9,0.714,On Track
17,9,0.5184,0.2008,0.4106,0.1078,21.9168,53.67,0.9483,Medium,1,8,0.8,On Track
25,2,0.0782,0.0075,0.1628,-0.0846,12.2845,32.09,0.2363,High,2,1,0.841,At Risk
15,9,0.6276,0.7232,0.322,0.3056,27.9487,40.23,1.5221,Medium,1,6,0.556,On Track
19,5,0.2755,0.1429,0.3,-0.0245,16.6682,57.34,0.4723,Low,0,10,0.699,At Risk
12,2,0.1271,0.0,0.1114,0.0157,17.9476,42.57,0.2918,Medium,1,9,0.885,At Risk
5,3,0.5334,0.4431,0.6812,-0.1478,4.4041,38.0,1.3676,High,2,2,0.909,At Risk
10,0,0.0,0.0,0.127,-0.127,0.0,49.97,0.0,Low,0,2,0.766,At Risk
5,4,0.7172,0.6938,0.2048,0.5124,19.5287,6.67,9.3481,High,2,5,0.928,On Track
11,4,0.3306,0.4992,0.6108,-0.2802,6.549,62.85,0.5177,Medium,1,1,0.611,At Risk
8,2,0.2552,0.3023,0.3713,-0.1161,5.386,57.3,0.4377,High,2,5,0.732,At Risk
7,0,0.0355,0.0,0.1781,-0.1426,0.0,3.0,0.8874,High,2,7,0.835,At Risk
24,4,0.1753,0.0,0.1687,0.0066,23.7111,11.78,1.3716,Low,0,5,0.81,On Track
15,6,0.4197,0.4556,0.5157,-0.096,11.6349,27.52,1.4718,High,2,3,0.756,At Risk
20,5,0.2697,0.0209,0.3841,-0.1144,13.0187,45.65,0.5781,High,2,9,0.681,At Risk
21,17,0.8048,0.7391,0.7424,0.0623,22.8975,23.32,3.3088,High,2,8,0.876,On Track
25,4,0.1632,0.1147,0.1121,0.051,35.6673,25.2,0.6229,Low,0,6,0.719,At Risk
5,3,0.6908,0.7489,0.6909,-0.0,4.3423,78.09,0.8734,Medium,1,5,0.931,On Track
4,3,0.6851,0.6435,0.7492,-0.0641,4.004,50.05,1.342,Medium,1,12,0.777,At Risk
