_id,orgName,email,role,location,country,description,interests,skills,website,contact_person,phone,capacity_score,avg_project_budget,active_projects,languages,timezone,created_at
partner_0011,CommunityFoundation 11 (Foundation),contact11@communityfounda.org,Foundation,"Jakarta, Indonesia",Indonesia,"GreenLabs 11 (Foundation) focuses on renewable energy and works on SDG 3. Operating primarily in Jakarta, Indonesia.",SDG 3,"Monitoring & Evaluation, Communications, Renewable Energy, Project Management",https://www.communityfounda11.org,Lead 11,2458087616,79,50000,12,English,UTC,2023-11-23T06:12:22.380407Z
partner_0012,SolarCollective 12 (University),contact12@solarcollective.org,University,"Pune, India",India,"ImpactFoundation 12 (University) focuses on renewable energy and works on SDG 17, SDG 14. Operating primarily in Pune, India.","SDG 17, SDG 14","Project Management, Monitoring & Evaluation, Communications, Renewable Energy",https://www.solarcollective12.org,Lead 12,91793358365,51,25000,1,"English, French",Asia/Kolkata,2022-05-04T06:12:22.380407Z
partner_0013,RuralSolutions 13 (Private Sector),contact13@ruralsolutions(.org,Private Sector,"Delhi, India",India,"CommunityPartners 13 (Private Sector) focuses on education and works on SDG 10, SDG 14. Operating primarily in Delhi, India.","SDG 10, SDG 14","Communications, Mobile App Development",https://www.ruralsolutions(13.org,Lead 13,91729115806,75,50000,1,"English, Swahili",Asia/Kolkata,2025-08-24T06:12:22.380407Z
partner_0014,TerraNetwork 14 (University),contact14@terranetwork.org,University,"Paris, France",France,"BlueInitiative 14 (University) focuses on healthcare and works on SDG 2, SDG 17. Operating primarily in Paris, France.","SDG 2, SDG 17","Community Engagement, Communications, Healthcare",https://www.terranetwork14.org,Lead 14,2399534250,41,50000,5,"English, Hindi",Europe/Paris,2023-05-06T06:12:22.380407Z
partner_0015,UrbanInitiative 15 (NGO),contact15@urbaninitiative.org,NGO,"Jakarta, Indonesia",Indonesia,"BluePartners 15 (NGO) focuses on healthcare and works on SDG 5, SDG 8, SDG 2, SDG 10. Operating primarily in Jakarta, Indonesia.","SDG 5, SDG 8, SDG 2, SDG 10","Communications, Renewable Energy, Mobile App Development",https://www.urbaninitiative15.org,Lead 15,2427617171,95,10000,4,"English, Mandarin",UTC,2023-03-02T06:12:22.380407Z
partner_0016,BlueNetwork 16 (NGO),contact16@bluenetwork.org,NGO,Singapore,Singapore,"CommunityWorks 16 (NGO) focuses on monitoring & evaluation and works on SDG 12, SDG 7. Operating primarily in Singapore.","SDG 12, SDG 7","Communications, Data Analysis",https://www.bluenetwork16.org,Lead 16,2162864378,71,100000,9,"English, French",Asia/Singapore,2022-08-24T06:12:22.380407Z
partner_0017,ImpactPartners 17 (Startup),contact17@impactpartners.org,Startup,"Delhi, India",India,"FutureWorks 17 (Startup) focuses on policy advocacy and works on SDG 13, SDG 12, SDG 4, SDG 15. Operating primarily in Delhi, India.","SDG 13, SDG 12, SDG 4, SDG 15","Policy Advocacy, Project Management, Community Engagement, Communications",https://www.impactpartners17.org,Lead 17,91634121728,95,25000,6,"English, Mandarin",Asia/Kolkata,2023-04-16T06:12:22.380407Z
partner_0018,FutureCollective 18 (Startup),contact18@futurecollectiv.org,Startup,"London, UK",UK,"FuturePartners 18 (Startup) focuses on water management and works on SDG 13. Operating primarily in London, UK.",SDG 13,"Marine Science, Monitoring & Evaluation",https://www.futurecollectiv18.org,Lead 18,44899443734,46,10000,12,"English, Mandarin",UTC,2023-01-12T06:12:22.380407Z
partner_0019,SolarLabs 19 (Startup),contact19@solarlabs.org,Startup,"Jakarta, Indonesia",Indonesia,"TerraInitiative 19 (Startup) focuses on mobile app development and works on SDG 2, SDG 11, SDG 12. Operating primarily in Jakarta, Indonesia.","SDG 2, SDG 11, SDG 12","Healthcare, Water Management, Communications",https://www.solarlabs19.org,Lead 19,2397395896,50,25000,0,"English, Portuguese",UTC,2023-02-19T06:12:22.380407Z
partner_0020,TerraWorks 20 (Startup),contact20@terraworks.org,Startup,Singapore,Singapore,GreenNetwork 20 (Startup) focuses on marine science and works on SDG 14. Operating primarily in Singapore.,SDG 14,"Education, Policy Advocacy",https://www.terraworks20.org,Lead 20,2096352106,47,5000,9,"English, Portuguese",Asia/Singapore,2023-08-04T06:12:22.380407Z
partner_0021,ImpactSolutions 21 (University),contact21@impactsolutions.org,University,"London, UK",UK,"SolarCollective 21 (University) focuses on marine science and works on SDG 5, SDG 16, SDG 8. Operating primarily in London, UK.","SDG 5, SDG 16, SDG 8","Education, Water Management, Project Management, Marine Science",https://www.impactsolutions21.org,Lead 21,44870151666,70,25000,9,"English, Swahili",UTC,2025-06-11T06:12:22.380407Z
partner_0022,FutureFoundation 22 (Government),contact22@futurefoundatio.org,Government,"Kolkata, India",India,"CommunityPartners 22 (Government) focuses on renewable energy and works on SDG 5, SDG 3, SDG 2. Operating primarily in Kolkata, India.","SDG 5, SDG 3, SDG 2","Monitoring & Evaluation, Renewable Energy, Project Management, Communications",https://www.futurefoundatio22.org,Lead 22,91645049115,85,50000,9,"English, Hindi",Asia/Kolkata,2024-03-22T06:12:22.380407Z
partner_0023,GreenFoundation 23 (NGO),contact23@greenfoundation.org,NGO,"Berlin, Germany",Germany,"RuralFoundation 23 (NGO) focuses on water management and works on SDG 13, SDG 10. Operating primarily in Berlin, Germany.","SDG 13, SDG 10","Water Management, Communications, Marine Science",https://www.greenfoundation23.org,Lead 23,2284469344,42,10000,12,"English, Hindi",UTC,2023-03-13T06:12:22.380407Z
partner_0024,UrbanWorks 24 (Government),contact24@urbanworks.org,Government,"Chennai, India",India,"BlueCollective 24 (Government) focuses on agriculture and works on SDG 17. Operating primarily in Chennai, India.",SDG 17,"GIS, Research",https://www.urbanworks24.org,Lead 24,91999652804,44,100000,12,"English, Spanish",Asia/Kolkata,2025-04-21T06:12:22.380407Z
partner_0025,FutureSolutions 25 (NGO),contact25@futuresolutions.org,NGO,"Hyderabad, India",India,"RuralPartners 25 (NGO) focuses on education and works on SDG 2, SDG 9, SDG 3. Operating primarily in Hyderabad, India.","SDG 2, SDG 9, SDG 3","Communications, Mobile App Development, Education",https://www.futuresolutions25.org,Lead 25,91867291131,71,25000,4,"English, Portuguese",Asia/Kolkata,2023-10-05T06:12:22.380407Z
partner_0026,GreenFoundation 26 (Government),contact26@greenfoundation.org,Government,"Sydney, Australia",Australia,"CommunityLabs 26 (Government) focuses on communications and works on SDG 5, SDG 7, SDG 3, SDG 14. Operating primarily in Sydney, Australia.","SDG 5, SDG 7, SDG 3, SDG 14","Fundraising, Monitoring & Evaluation, Communications",https://www.greenfoundation26.org,Lead 26,1932512287,52,5000,6,English,Australia/Sydney,2024-07-09T06:12:22.380407Z
partner_0027,CommunitySolutions 27 (Startup),contact27@communitysoluti.org,Startup,"London, UK",UK,"UrbanWorks 27 (Startup) focuses on gis and works on SDG 5, SDG 14, SDG 7. Operating primarily in London, UK.","SDG 5, SDG 14, SDG 7","Project Management, GIS, Water Management",https://www.communitysoluti27.org,Lead 27,44882177211,49,25000,6,"English, Portuguese",UTC,2023-05-06T06:12:22.380407Z
partner_0028,FutureCollective 28 (Government),contact28@futurecollectiv.org,Government,"Hyderabad, India",India,"TerraWorks 28 (Government) focuses on mobile app development and works on SDG 8, SDG 12, SDG 4. Operating primarily in Hyderabad, India.","SDG 8, SDG 12, SDG 4","Project Management, GIS",https://www.futurecollectiv28.org,Lead 28,91614057373,78,50000,5,"English, Hindi",Asia/Kolkata,2022-03-10T06:12:22.380407Z
partner_0029,GreenWorks 29 (Foundation),contact29@greenworks.org,Foundation,"Kolkata, India",India,"TerraNetwork 29 (Foundation) focuses on logistics and works on SDG 4, SDG 8, SDG 3. Operating primarily in Kolkata, India.","SDG 4, SDG 8, SDG 3","Fundraising, Logistics, Project Management",https://www.greenworks29.org,Lead 29,91724372298,93,25000,1,"English, Arabic",Asia/Kolkata,2024-07-28T06:12:22.380407Z
partner_0030,RuralWorks 30 (Government),contact30@ruralworks.org,Government,"Jakarta, Indonesia",Indonesia,"FutureLabs 30 (Government) focuses on fundraising and works on SDG 8. Operating primarily in Jakarta, Indonesia.",SDG 8,"Fundraising, Community Engagement, Policy Advocacy, Project Management",https://www.ruralworks30.org,Lead 30,2541443585,48,100000,8,"English, French",UTC,2024-07-12T06:12:22.380407Z
partner_0031,BlueLabs 31 (Startup),contact31@bluelabs.org,Startup,"Bangkok, Thailand",Thailand,"UrbanInitiative 31 (Startup) focuses on communications and works on SDG 3, SDG 1, SDG 17, SDG 15. Operating primarily in Bangkok, Thailand.","SDG 3, SDG 1, SDG 17, SDG 15","Water Management, Fundraising",https://www.bluelabs31.org,Lead 31,2580097749,94,50000,0,"English, Mandarin",UTC,2023-12-02T06:12:22.380407Z
partner_0032,OceanLabs 32 (NGO),contact32@oceanlabs.org,NGO,"Hyderabad, India",India,"UrbanFoundation 32 (NGO) focuses on marine science and works on SDG 13, SDG 17, SDG 7, SDG 10. Operating primarily in Hyderabad, India.","SDG 13, SDG 17, SDG 7, SDG 10","Project Management, Policy Advocacy, Communications",https://www.oceanlabs32.org,Lead 32,91607681463,72,5000,4,"English, Spanish",Asia/Kolkata,2024-09-09T06:12:22.380407Z
partner_0033,ImpactFoundation 33 (Startup),contact33@impactfoundatio.org,Startup,"Lagos, Nigeria",Nigeria,"TerraInitiative 33 (Startup) focuses on project management and works on SDG 16, SDG 13. Operating primarily in Lagos, Nigeria.","SDG 16, SDG 13","Healthcare, Communications, Communications, Project Management",https://www.impactfoundatio33.org,Lead 33,2566876312,42,100000,3,English,UTC,2023-01-09T06:12:22.380407Z
partner_0034,FutureCollective 34 (Government),contact34@futurecollectiv.org,Government,"Paris, France",France,"GreenLabs 34 (Government) focuses on gis and works on SDG 8, SDG 14, SDG 11. Operating primarily in Paris, France.","SDG 8, SDG 14, SDG 11","GIS, Project Management",https://www.futurecollectiv34.org,Lead 34,1628470150,90,50000,9,"English, Hindi",Europe/Paris,2022-01-19T06:12:22.380407Z
partner_0035,FutureFoundation 35 (Government),contact35@futurefoundatio.org,Government,"Hyderabad, India",India,"SolarCollective 35 (Government) focuses on water management and works on SDG 16. Operating primarily in Hyderabad, India.",SDG 16,"Water Management, Marine Science, Project Management, Communications",https://www.futurefoundatio35.org,Lead 35,91971469149,61,10000,6,English,Asia/Kolkata,2022-07-08T06:12:22.380407Z
partner_0036,TerraSolutions 36 (Startup),contact36@terrasolutions.org,Startup,"Sydney, Australia",Australia,"CommunityFoundation 36 (Startup) focuses on fundraising and works on SDG 4, SDG 16, SDG 17. Operating primarily in Sydney, Australia.","SDG 4, SDG 16, SDG 17","Communications, Data Analysis, Policy Advocacy, Fundraising",https://www.terrasolutions36.org,Lead 36,1885875703,69,50000,4,"English, French",Australia/Sydney,2022-04-16T06:12:22.380407Z
partner_0037,BluePartners 37 (Startup),contact37@bluepartners.org,Startup,"Hyderabad, India",India,"OceanNetwork 37 (Startup) focuses on water management and works on SDG 10, SDG 5. Operating primarily in Hyderabad, India.","SDG 10, SDG 5","Marine Science, Water Management, Communications, Monitoring & Evaluation",https://www.bluepartners37.org,Lead 37,91792265455,81,100000,5,"English, Mandarin",Asia/Kolkata,2022-04-01T06:12:22.380407Z
partner_0038,CommunityWorks 38 (Government),contact38@communityworks.org,Government,"Paris, France",France,"UrbanNetwork 38 (Government) focuses on data analysis and works on SDG 15. Operating primarily in Paris, France.",SDG 15,"Research, Communications",https://www.communityworks38.org,Lead 38,1901769299,72,50000,2,"English, French",Europe/Paris,2025-08-04T06:12:22.380407Z
partner_0039,UrbanNetwork 39 (Startup),contact39@urbannetwork.org,Startup,"Dubai, UAE",UAE,"TerraFoundation 39 (Startup) focuses on project management and works on SDG 17, SDG 9, SDG 11. Operating primarily in Dubai, UAE.","SDG 17, SDG 9, SDG 11","Healthcare, Project Management",https://www.urbannetwork39.org,Lead 39,2255771208,45,100000,10,"English, Portuguese",Asia/Dubai,2025-01-04T06:12:22.380407Z
partner_0040,ImpactCollective 40 (Private Sector),contact40@impactcollectiv.org,Private Sector,"Tokyo, Japan",Japan,"ImpactSolutions 40 (Private Sector) focuses on logistics and works on SDG 9, SDG 8, SDG 14. Operating primarily in Tokyo, Japan.","SDG 9, SDG 8, SDG 14","Agriculture, Monitoring & Evaluation",https://www.impactcollectiv40.org,Lead 40,2748592897,45,10000,2,English,Asia/Tokyo,2025-09-13T06:12:22.380407Z
partner_0041,GreenNetwork 41 (Government),contact41@greennetwork.org,Government,"Jakarta, Indonesia",Indonesia,"OceanLabs 41 (Government) focuses on marine science and works on SDG 8, SDG 4. Operating primarily in Jakarta, Indonesia.","SDG 8, SDG 4","Education, Marine Science, Project Management",https://www.greennetwork41.org,Lead 41,2416217831,72,25000,6,"English, Arabic",UTC,2023-02-24T06:12:22.380407Z
partner_0042,RuralFoundation 42 (Startup),contact42@ruralfoundation.org,Startup,"Pune, India",India,"GreenInitiative 42 (Startup) focuses on fundraising and works on SDG 10, SDG 11. Operating primarily in Pune, India.","SDG 10, SDG 11","Communications, Community Engagement",https://www.ruralfoundation42.org,Lead 42,91911871202,67,10000,7,"English, Portuguese",Asia/Kolkata,2022-03-08T06:12:22.380407Z
partner_0043,CommunitySolutions 43 (Private Sector),contact43@communitysoluti.org,Private Sector,"Kolkata, India",India,"SolarPartners 43 (Private Sector) focuses on agriculture and works on SDG 8, SDG 13, SDG 12. Operating primarily in Kolkata, India.","SDG 8, SDG 13, SDG 12","Research, Agriculture",https://www.communitysoluti43.org,Lead 43,91617533180,75,50000,10,"English, French",Asia/Kolkata,2022-02-07T06:12:22.380407Z
partner_0044,ImpactNetwork 44 (Foundation),contact44@impactnetwork.org,Foundation,"Lagos, Nigeria",Nigeria,"GreenPartners 44 (Foundation) focuses on data analysis and works on SDG 16, SDG 3, SDG 15. Operating primarily in Lagos, Nigeria.","SDG 16, SDG 3, SDG 15","Water Management, Logistics, Data Analysis, Research",https://www.impactnetwork44.org,Lead 44,2711042061,62,10000,0,"English, Portuguese",UTC,2025-03-26T06:12:22.380407Z
partner_0045,SolarLabs 45 (Private Sector),contact45@solarlabs(priva.org,Private Sector,"Berlin, Germany",Germany,"CommunityCollective 45 (Private Sector) focuses on marine science and works on SDG 1, SDG 8, SDG 3, SDG 7. Operating primarily in Berlin, Germany.","SDG 1, SDG 8, SDG 3, SDG 7","Water Management, Marine Science",https://www.solarlabs(priva45.org,Lead 45,2912675465,68,100000,8,"English, Spanish",UTC,2023-11-06T06:12:22.380407Z
partner_0046,SolarLabs 46 (Foundation),contact46@solarlabs.org,Foundation,"Berlin, Germany",Germany,"ImpactCollective 46 (Foundation) focuses on marine science and works on SDG 16, SDG 12. Operating primarily in Berlin, Germany.","SDG 16, SDG 12","Project Management, Policy Advocacy, Water Management",https://www.solarlabs46.org,Lead 46,2421762101,80,50000,9,"English, Hindi",UTC,2022-01-29T06:12:22.380407Z
partner_0047,TerraLabs 47 (Government),contact47@terralabs.org,Government,"London, UK",UK,"OceanFoundation 47 (Government) focuses on data analysis and works on SDG 17, SDG 6. Operating primarily in London, UK.","SDG 17, SDG 6","Monitoring & Evaluation, Communications, Water Management, Research",https://www.terralabs47.org,Lead 47,44677581163,82,25000,9,"English, Spanish",UTC,2024-10-06T06:12:22.380407Z
partner_0048,ImpactLabs 48 (NGO),contact48@impactlabs.org,NGO,"Nairobi, Kenya",Kenya,"RuralInitiative 48 (NGO) focuses on mobile app development and works on SDG 7. Operating primarily in Nairobi, Kenya.",SDG 7,"Water Management, Project Management",https://www.impactlabs48.org,Lead 48,1640543280,53,10000,6,"English, Hindi",UTC,2025-08-08T06:12:22.380407Z
partner_0049,UrbanNetwork 49 (Private Sector),contact49@urbannetwork(pr.org,Private Sector,"London, UK",UK,"TerraFoundation 49 (Private Sector) focuses on gis and works on SDG 9, SDG 3, SDG 2. Operating primarily in London, UK.","SDG 9, SDG 3, SDG 2","Communications, GIS",https://www.urbannetwork(pr49.org,Lead 49,44830586859,44,5000,5,"English, Swahili",UTC,2025-03-20T06:12:22.380407Z
partner_0050,GreenInitiative 50 (Startup),contact50@greeninitiative.org,Startup,"Berlin, Germany",Germany,"ImpactNetwork 50 (Startup) focuses on logistics and works on SDG 6, SDG 9, SDG 7, SDG 12. Operating primarily in Berlin, Germany.","SDG 6, SDG 9, SDG 7, SDG 12","Project Management, Project Management, Logistics",https://www.greeninitiative50.org,Lead 50,2742413755,90,25000,4,"English, Arabic",UTC,2022-09-30T06:12:22.380407Z
partner_0051,TerraPartners 51 (Startup),contact51@terrapartners.org,Startup,"Sydney, Australia",Australia,"SolarInitiative 51 (Startup) focuses on communications and works on SDG 1, SDG 7, SDG 8. Operating primarily in Sydney, Australia.","SDG 1, SDG 7, SDG 8","Project Management, Communications, Water Management",https://www.terrapartners51.org,Lead 51,2648246169,75,25000,2,"English, Portuguese",Australia/Sydney,2022-08-05T06:12:22.380407Z
partner_0052,GreenWorks 52 (Private Sector),contact52@greenworks(priv.org,Private Sector,"Tokyo, Japan",Japan,"OceanNetwork 52 (Private Sector) focuses on monitoring & evaluation and works on SDG 5, SDG 8, SDG 11, SDG 14. Operating primarily in Tokyo, Japan.","SDG 5, SDG 8, SDG 11, SDG 14","Data Analysis, Renewable Energy, Communications, Monitoring & Evaluation",https://www.greenworks(priv52.org,Lead 52,2981925856,93,5000,11,"English, Mandarin",Asia/Tokyo,2022-09-13T06:12:22.380407Z
partner_0053,OceanWorks 53 (University),contact53@oceanworks.org,University,"Pune, India",India,"ImpactLabs 53 (University) focuses on communications and works on SDG 5, SDG 11, SDG 2, SDG 12. Operating primarily in Pune, India.","SDG 5, SDG 11, SDG 2, SDG 12","Communications, Fundraising, Monitoring & Evaluation",https://www.oceanworks53.org,Lead 53,91647341056,89,5000,5,English,Asia/Kolkata,2023-02-25T06:12:22.380407Z
partner_0054,RuralNetwork 54 (NGO),contact54@ruralnetwork.org,NGO,"Bangkok, Thailand",Thailand,"RuralNetwork 54 (NGO) focuses on water management and works on SDG 4, SDG 5, SDG 11, SDG 2. Operating primarily in Bangkok, Thailand.","SDG 4, SDG 5, SDG 11, SDG 2","Project Management, Water Management",https://www.ruralnetwork54.org,Lead 54,1838629859,64,25000,10,"English, Spanish",UTC,2022-10-03T06:12:22.380407Z
partner_0055,UrbanFoundation 55 (Private Sector),contact55@urbanfoundation.org,Private Sector,"Jakarta, Indonesia",Indonesia,"RuralSolutions 55 (Private Sector) focuses on healthcare and works on SDG 9. Operating primarily in Jakarta, Indonesia.",SDG 9,"Communications, Community Engagement",https://www.urbanfoundation55.org,Lead 55,2518583091,95,50000,2,"English, Portuguese",UTC,2023-08-06T06:12:22.380407Z
partner_0056,CommunityPartners 56 (Private Sector),contact56@communitypartne.org,Private Sector,"Paris, France",France,"RuralInitiative 56 (Private Sector) focuses on mobile app development and works on SDG 1, SDG 4. Operating primarily in Paris, France.","SDG 1, SDG 4","Mobile App Development, Healthcare, Communications",https://www.communitypartne56.org,Lead 56,1702667680,82,10000,8,"English, Swahili",Europe/Paris,2025-12-13T06:12:22.380407Z
partner_0057,UrbanInitiative 57 (University),contact57@urbaninitiative.org,University,"Kolkata, India",India,"OceanWorks 57 (University) focuses on mobile app development and works on SDG 16, SDG 8. Operating primarily in Kolkata, India.","SDG 16, SDG 8","Water Management, GIS, Project Management, Communications",https://www.urbaninitiative57.org,Lead 57,91968439951,56,50000,0,"English, French",Asia/Kolkata,2025-05-08T06:12:22.380407Z
partner_0058,GreenFoundation 58 (Government),contact58@greenfoundation.org,Government,"Paris, France",France,"SolarSolutions 58 (Government) focuses on renewable energy and works on SDG 4, SDG 17, SDG 11, SDG 8. Operating primarily in Paris, France.","SDG 4, SDG 17, SDG 11, SDG 8","Renewable Energy, Communications",https://www.greenfoundation58.org,Lead 58,1899429621,56,10000,11,"English, Arabic",Europe/Paris,2023-04-30T06:12:22.380407Z
partner_0059,TerraCollective 59 (Private Sector),contact59@terracollective.org,Private Sector,"New York, USA",USA,"FutureWorks 59 (Private Sector) focuses on policy advocacy and works on SDG 10, SDG 5. Operating primarily in New York, USA.","SDG 10, SDG 5","Policy Advocacy, Communications, Agriculture",https://www.terracollective59.org,Lead 59,1803683559,56,5000,4,"English, Portuguese",UTC,2024-08-20T06:12:22.380407Z
partner_0060,TerraInitiative 60 (Foundation),contact60@terrainitiative.org,Foundation,Singapore,Singapore,"ImpactInitiative 60 (Foundation) focuses on research and works on SDG 11, SDG 16. Operating primarily in Singapore.","SDG 11, SDG 16","Research, Communications, GIS",https://www.terrainitiative60.org,Lead 60,2528422319,83,100000,2,"English, Mandarin",Asia/Singapore,2023-04-02T06:12:22.380407Z
partner_0061,FuturePartners 61 (Foundation),contact61@futurepartners.org,Foundation,"Dubai, UAE",UAE,"TerraWorks 61 (Foundation) focuses on education and works on SDG 13, SDG 2, SDG 9, SDG 15. Operating primarily in Dubai, UAE.","SDG 13, SDG 2, SDG 9, SDG 15","Education, Project Management",https://www.futurepartners61.org,Lead 61,1717757058,89,100000,3,"English, Portuguese",Asia/Dubai,2025-01-18T06:12:22.380407Z
partner_0062,FuturePartners 62 (Startup),contact62@futurepartners.org,Startup,"Nairobi, Kenya",Kenya,"OceanPartners 62 (Startup) focuses on community engagement and works on SDG 11, SDG 13. Operating primarily in Nairobi, Kenya.","SDG 11, SDG 13","Healthcare, Communications",https://www.futurepartners62.org,Lead 62,2616947992,57,10000,4,"English, Portuguese",UTC,2024-03-22T06:12:22.380407Z
partner_0063,TerraFoundation 63 (University),contact63@terrafoundation.org,University,"Hyderabad, India",India,"OceanPartners 63 (University) focuses on communications and works on SDG 3. Operating primarily in Hyderabad, India.",SDG 3,"Communications, Monitoring & Evaluation, Communications",https://www.terrafoundation63.org,Lead 63,91925895968,86,25000,0,"English, Mandarin",Asia/Kolkata,2023-07-11T06:12:22.380407Z
partner_0064,GreenPartners 64 (University),contact64@greenpartners.org,University,"Pune, India",India,"UrbanCollective 64 (University) focuses on renewable energy and works on SDG 12, SDG 4. Operating primarily in Pune, India.","SDG 12, SDG 4","Renewable Energy, Project Management",https://www.greenpartners64.org,Lead 64,91714398198,49,50000,2,English,Asia/Kolkata,2024-11-28T06:12:22.380407Z
partner_0065,BluePartners 65 (Foundation),contact65@bluepartners.org,Foundation,"New York, USA",USA,"SolarWorks 65 (Foundation) focuses on communications and works on SDG 3. Operating primarily in New York, USA.",SDG 3,"Monitoring & Evaluation, Project Management, Fundraising",https://www.bluepartners65.org,Lead 65,1944123650,51,100000,8,"English, Arabic",UTC,2025-11-16T06:12:22.380407Z
partner_0066,FutureCollective 66 (Government),contact66@futurecollectiv.org,Government,"Kolkata, India",India,"GreenFoundation 66 (Government) focuses on education and works on SDG 6, SDG 1, SDG 17, SDG 5. Operating primarily in Kolkata, India.","SDG 6, SDG 1, SDG 17, SDG 5","Education, Policy Advocacy, Mobile App Development, Project Management",https://www.futurecollectiv66.org,Lead 66,91624829869,55,50000,3,"English, Hindi",Asia/Kolkata,2024-10-22T06:12:22.380407Z
partner_0067,GreenSolutions 67 (NGO),contact67@greensolutions.org,NGO,"Jakarta, Indonesia",Indonesia,"UrbanInitiative 67 (NGO) focuses on data analysis and works on SDG 6, SDG 5, SDG 15. Operating primarily in Jakarta, Indonesia.","SDG 6, SDG 5, SDG 15","Communications, Logistics, Project Management",https://www.greensolutions67.org,Lead 67,2484921755,41,100000,11,"English, Mandarin",UTC,2023-10-04T06:12:22.380407Z
